Model,Baseline_F1,Tuned_F1,Baseline_Recall,Tuned_Recall,Delta_F1,Delta_Recall
Random Forest,0.5868,0.595,0.6283,0.6364,0.0082,0.0081
XGBoost,0.6007,0.5897,0.6738,0.6551,-0.011,-0.0187
